node_id,name,kind,x,y,people_affected,priority,water,medicine,food,hygiene_kits,blankets,expected_benefit
0,Distribution Center,depot,50,50,0,0,0,0,0,0,0,0
1,Site 01,site,17,72,250,1,7,3,7,5,6,168
2,Site 02,site,97,8,674,1,18,6,24,14,14,484
3,Site 03,site,32,15,739,4,22,6,21,14,13,476
4,Site 04,site,63,97,1124,2,40,11,40,20,22,690
5,Site 05,site,57,60,408,4,13,4,12,7,10,375
6,Site 06,site,83,48,1137,4,30,12,33,23,21,969
7,Site 07,site,100,26,200,3,5,2,5,3,3,193
8,Site 08,site,12,62,690,2,20,6,17,16,11,640
9,Site 09,site,3,49,1247,4,32,14,44,27,25,937
10,Site 10,site,55,77,790,1,21,8,23,14,13,684
11,Site 11,site,97,98,686,5,21,6,24,16,11,467
12,Site 12,site,0,89,751,5,25,7,20,16,17,731
13,Site 13,site,57,34,784,5,23,9,21,17,13,524
14,Site 14,site,92,29,1182,2,32,11,36,21,22,763
15,Site 15,site,75,13,561,5,19,6,17,12,12,409
16,Site 16,site,40,3,912,1,26,11,24,16,15,761
17,Site 17,site,2,3,854,1,26,8,21,15,20,705
18,Site 18,site,83,69,314,4,11,3,8,6,7,190
19,Site 19,site,1,48,926,1,31,10,24,21,19,616
20,Site 20,site,87,27,1003,2,32,9,34,20,24,925
