timestamp,regiao,consumo,capacidade_disponivel,prioridade,custo
2025-06-01 00:00:00,Norte,352.98,640.0,3,239.67
2025-06-01 00:00:00,Sul,261.38,520.0,2,165.9
2025-06-01 00:00:00,Leste,191.65,420.0,1,124.69
2025-06-01 00:00:00,Oeste,257.1,560.0,2,159.73
2025-06-01 00:00:00,Centro,406.38,800.0,3,265.23
2025-06-01 01:00:00,Norte,333.99,640.0,3,210.99
2025-06-01 01:00:00,Sul,260.1,520.0,2,168.73
2025-06-01 01:00:00,Leste,184.7,420.0,1,122.04
2025-06-01 01:00:00,Oeste,287.18,560.0,2,200.39
2025-06-01 01:00:00,Centro,406.5,800.0,3,263.05
2025-06-01 02:00:00,Norte,351.56,640.0,3,229.91
2025-06-01 02:00:00,Sul,278.91,520.0,2,179.25
2025-06-01 02:00:00,Leste,213.67,420.0,1,143.26
2025-06-01 02:00:00,Oeste,295.6,560.0,2,192.9
2025-06-01 02:00:00,Centro,365.37,800.0,3,240.74
2025-06-01 03:00:00,Norte,321.97,640.0,3,213.92
2025-06-01 03:00:00,Sul,264.5,520.0,2,177.68
2025-06-01 03:00:00,Leste,209.13,420.0,1,136.78
2025-06-01 03:00:00,Oeste,294.94,560.0,2,185.3
2025-06-01 03:00:00,Centro,387.15,800.0,3,247.78
2025-06-01 04:00:00,Norte,370.7,640.0,3,240.27
2025-06-01 04:00:00,Sul,273.57,520.0,2,181.21
2025-06-01 04:00:00,Leste,205.28,420.0,1,127.06
2025-06-01 04:00:00,Oeste,301.61,560.0,2,193.59
2025-06-01 04:00:00,Centro,422.97,800.0,3,263.89
2025-06-01 05:00:00,Norte,308.79,640.0,3,208.48
2025-06-01 05:00:00,Sul,289.76,520.0,2,180.8
2025-06-01 05:00:00,Leste,187.61,420.0,1,121.78
2025-06-01 05:00:00,Oeste,296.31,560.0,2,193.55
2025-06-01 05:00:00,Centro,409.71,800.0,3,258.21
2025-06-01 06:00:00,Norte,447.02,640.0,3,501.71
2025-06-01 06:00:00,Sul,341.94,520.0,2,366.33
2025-06-01 06:00:00,Leste,270.75,420.0,1,301.95
2025-06-01 06:00:00,Oeste,339.17,560.0,2,372.46
2025-06-01 06:00:00,Centro,508.29,800.0,3,557.79
2025-06-01 07:00:00,Norte,425.74,640.0,3,468.45
